duration,protocol,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,count,srv_count,serror_rate,rerror_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,same_srv_rate,label
625,tcp,dns,REJ,6498,4291,0,0,0,5,5,0,30,20,0.78,0.64,0.43,154,62,0.05,neptune
921,icmp,http,REJ,9858,7053,0,3,0,2,3,1,18,57,0.08,0.66,0.82,105,61,0.91,buffer_overflow
854,icmp,http,REJ,935,3807,1,3,3,1,0,0,44,83,0.27,0.97,0.4,201,15,0.85,warezclient
76,tcp,telnet,S0,9294,8739,1,2,1,5,0,0,1,60,0.99,0.41,0.1,11,254,0.49,nmap
329,icmp,telnet,RSTR,3186,1016,1,3,2,3,3,1,84,95,0.83,0.4,0.16,209,144,0.92,normal
492,udp,http,RSTR,9825,4688,1,2,0,1,1,0,35,56,0.82,0.51,0.26,224,186,0.0,guess_passwd
288,icmp,ftp,RSTR,9435,5706,1,1,2,4,4,1,36,4,0.16,0.17,0.43,82,43,0.53,normal
346,icmp,dns,SF,4953,3420,1,2,3,2,3,0,6,42,0.16,0.97,0.24,36,124,0.72,portsweep
766,udp,dns,S0,2310,4408,1,2,1,2,5,1,88,60,0.08,0.99,0.07,4,3,0.73,neptune
598,udp,ftp,RSTR,845,2988,1,2,1,0,4,1,42,95,0.47,0.44,0.69,139,199,0.34,teardrop
840,tcp,dns,SF,4841,2583,0,0,3,0,5,0,13,93,0.82,0.53,0.84,81,6,0.66,portsweep
99,tcp,dns,SF,6868,6781,0,3,2,0,0,0,62,62,0.36,0.68,0.67,143,168,0.14,normal
304,icmp,telnet,S0,1591,6854,0,3,1,4,3,0,4,16,0.94,0.44,0.47,74,35,0.81,guess_passwd
47,tcp,http,REJ,7588,4555,0,2,1,0,1,0,28,63,0.32,0.1,0.41,97,61,0.88,warezclient
845,tcp,dns,SF,277,8792,1,1,1,1,4,0,83,77,0.54,0.98,0.61,20,62,0.12,buffer_overflow
423,icmp,dns,SF,7167,5214,0,2,3,1,5,1,20,5,0.33,0.54,0.8,135,202,0.89,guess_passwd
583,tcp,ftp,SF,9766,6668,0,1,1,3,0,0,86,91,0.13,0.59,0.23,202,173,0.03,smurf
188,tcp,http,S0,2102,1446,0,3,2,0,2,0,52,0,0.1,0.32,0.07,249,234,0.23,buffer_overflow
56,tcp,ftp,REJ,5529,7085,1,2,3,1,2,0,68,1,0.75,0.58,0.82,72,93,0.35,normal
709,icmp,telnet,SF,4467,169,0,1,1,3,2,0,37,21,0.28,0.85,0.99,129,198,0.15,smurf
241,udp,dns,RSTR,1277,7837,1,0,2,4,5,1,49,98,0.66,0.4,0.72,160,225,0.3,smurf
681,icmp,telnet,S0,3650,2337,1,0,1,2,3,0,38,77,0.08,0.06,0.35,84,119,0.61,satan
18,udp,telnet,REJ,3608,1763,1,2,3,3,4,1,84,78,0.07,0.72,0.88,97,51,0.16,warezclient
507,udp,dns,S0,6194,6229,0,0,1,4,1,0,1,76,0.77,0.04,0.6,251,247,0.16,portsweep
117,icmp,http,RSTR,660,2850,1,2,2,4,1,1,31,52,0.69,0.35,0.9,216,36,0.19,normal
489,icmp,ftp,RSTR,9532,5520,0,2,1,4,2,0,74,98,0.4,0.51,0.52,211,66,0.26,warezclient
990,icmp,telnet,RSTR,6882,10,0,2,3,3,4,0,28,75,0.07,0.43,0.91,79,142,0.98,nmap
77,tcp,ftp,RSTR,5508,4224,1,0,0,4,1,1,84,43,0.01,0.07,0.17,66,24,0.2,buffer_overflow
568,udp,ftp,REJ,674,6104,1,1,3,4,2,0,70,64,0.31,0.74,0.28,255,91,0.4,normal
561,icmp,ftp,SF,6376,4735,0,3,1,3,4,0,52,95,0.41,0.15,0.1,21,167,0.05,warezclient
424,udp,dns,S0,5182,1641,0,1,3,5,0,0,85,49,0.45,0.59,0.55,149,149,0.13,satan
150,udp,telnet,REJ,2597,3085,1,1,3,4,4,1,52,67,0.63,0.27,0.11,253,70,0.82,smurf
869,icmp,dns,SF,5218,8202,1,3,0,2,3,0,23,83,0.85,0.21,0.62,152,167,0.8,portsweep
588,udp,telnet,S0,8504,3552,1,3,3,0,2,1,20,6,0.27,0.35,0.32,206,195,0.74,nmap
966,tcp,http,REJ,3059,5328,0,1,3,5,5,0,65,87,0.56,0.84,0.07,160,18,0.35,warezclient
302,udp,http,SF,5088,6778,0,1,3,4,5,1,66,42,0.19,0.35,0.54,97,201,0.17,smurf
246,udp,dns,S0,1812,3601,1,3,3,2,5,0,18,35,0.12,0.97,1.0,85,62,0.5,nmap
180,udp,dns,RSTR,9339,5288,1,2,2,3,3,0,48,36,0.04,0.47,0.78,31,6,0.87,normal
734,udp,telnet,SF,9040,729,0,0,3,3,4,0,38,78,0.67,0.93,0.22,230,155,0.72,normal
837,udp,telnet,S0,5823,1502,0,1,3,3,2,0,81,50,0.69,0.46,0.36,156,34,0.47,guess_passwd
753,icmp,dns,REJ,3272,9657,0,3,3,5,0,0,0,12,0.39,0.85,0.33,72,125,0.47,warezclient
158,tcp,ftp,RSTR,1811,5287,0,2,3,2,1,0,61,60,0.8,0.28,0.87,220,219,0.22,nmap
266,tcp,telnet,S0,722,9118,1,3,2,0,4,1,70,18,0.04,0.26,0.73,215,251,0.6,teardrop
49,icmp,http,S0,5220,898,0,1,2,3,4,0,76,92,0.71,0.58,0.25,72,198,0.33,normal
138,tcp,telnet,S0,9336,9434,0,2,0,3,5,0,30,53,0.95,0.99,0.22,18,174,0.32,teardrop
778,tcp,http,S0,4633,9436,0,3,0,4,5,0,88,68,0.59,0.4,0.4,18,225,0.42,satan
189,icmp,telnet,RSTR,8612,1530,1,3,3,0,3,0,7,60,0.66,0.71,0.94,63,8,0.99,warezclient
900,udp,http,REJ,3589,9227,0,0,0,2,2,1,42,47,0.46,0.73,0.35,133,38,0.51,buffer_overflow
610,udp,dns,RSTR,9093,9102,0,1,2,0,1,1,28,9,0.49,0.86,0.8,224,241,0.77,satan
596,tcp,http,S0,2157,1079,1,3,2,5,3,1,46,71,0.32,0.23,0.11,201,51,0.07,teardrop
159,udp,http,RSTR,5982,8584,0,3,1,0,1,0,85,52,0.29,0.14,0.5,80,47,0.19,buffer_overflow
185,tcp,telnet,REJ,3245,862,1,3,2,4,4,1,61,26,0.47,0.98,0.56,243,176,0.24,neptune
548,tcp,telnet,REJ,5121,6303,0,0,0,0,4,1,90,18,0.56,0.48,0.54,112,116,0.58,nmap
997,tcp,telnet,RSTR,4401,545,0,1,0,5,4,1,60,74,0.46,0.04,0.3,74,64,0.49,satan
156,icmp,telnet,RSTR,9657,5911,0,0,2,1,2,0,40,81,0.84,0.38,0.25,102,248,0.38,guess_passwd
916,tcp,telnet,RSTR,3036,2269,0,1,3,2,4,1,27,54,0.64,0.23,0.95,179,160,0.77,portsweep
965,udp,http,S0,3038,6476,0,0,0,0,5,0,15,49,0.39,0.1,0.33,15,71,0.33,neptune
664,tcp,telnet,REJ,6786,8206,0,2,1,5,3,0,89,0,0.19,0.94,0.75,63,147,0.76,guess_passwd
369,tcp,dns,RSTR,1753,1615,0,0,0,4,5,1,5,100,0.84,0.9,0.31,250,138,0.28,nmap
994,tcp,ftp,REJ,7247,8966,0,2,3,3,0,0,39,93,0.97,0.43,0.54,175,73,0.18,teardrop
371,tcp,telnet,S0,7293,1574,1,3,2,0,0,0,10,85,0.88,0.76,0.49,240,238,0.58,teardrop
379,icmp,telnet,REJ,7642,58,1,1,1,1,5,0,35,17,0.66,0.58,0.05,33,201,0.49,normal
263,udp,dns,S0,473,4843,0,2,3,1,5,1,64,79,0.56,0.38,0.3,230,16,0.23,satan
535,icmp,dns,RSTR,9818,5508,1,0,0,3,3,1,34,82,0.74,0.93,0.16,242,231,0.97,normal
87,tcp,http,RSTR,5928,4873,1,2,2,4,5,0,40,31,0.14,0.51,0.47,10,138,0.88,neptune
20,udp,http,SF,9309,9984,0,3,1,1,2,1,35,24,0.33,0.68,0.97,17,197,0.68,nmap
37,tcp,telnet,S0,1565,7631,1,3,1,3,5,1,2,19,0.94,0.25,0.57,245,169,0.1,smurf
308,icmp,telnet,REJ,1389,6560,1,3,2,2,3,0,90,23,0.69,0.96,0.14,218,91,0.1,portsweep
206,icmp,http,S0,8800,7147,1,1,2,1,2,0,71,11,0.72,0.97,0.61,70,60,0.55,neptune
419,icmp,http,SF,6800,4960,0,3,2,1,1,0,2,41,0.2,0.87,0.56,187,250,0.34,buffer_overflow
77,icmp,dns,REJ,3726,7230,1,0,2,3,5,1,46,94,0.5,0.6,0.34,43,44,0.98,teardrop
163,icmp,http,REJ,627,9645,0,2,0,5,5,0,15,84,0.17,0.23,0.4,45,19,0.93,normal
370,tcp,http,S0,4778,8546,0,2,3,5,3,0,75,87,0.04,0.25,0.82,193,62,0.59,normal
909,tcp,dns,REJ,7113,2048,0,1,1,5,4,0,9,60,1.0,0.77,0.77,64,55,0.21,nmap
430,icmp,telnet,S0,6125,2191,0,3,3,5,4,1,17,66,0.42,0.05,0.26,227,243,0.92,neptune
702,icmp,telnet,SF,2775,3058,0,2,1,3,2,0,57,77,0.67,0.67,0.72,14,87,0.12,nmap
474,udp,http,RSTR,8463,6127,1,3,1,3,5,0,49,59,0.76,0.38,0.2,143,146,0.89,neptune
809,udp,dns,SF,79,5569,1,3,3,5,0,0,4,19,0.95,0.56,0.79,223,133,0.19,buffer_overflow
663,icmp,ftp,RSTR,7455,7432,0,0,2,3,3,1,59,94,0.14,0.49,0.31,119,75,0.4,warezclient
746,icmp,http,REJ,5337,1774,0,1,3,2,1,0,88,50,0.96,0.0,0.76,119,82,0.79,portsweep
743,icmp,telnet,SF,2654,7471,1,1,3,0,1,1,84,29,0.74,0.52,0.85,85,199,0.7,nmap
63,tcp,dns,S0,2846,890,1,1,1,2,3,0,33,95,0.69,0.25,0.79,2,3,0.71,warezclient
912,tcp,ftp,RSTR,3893,5021,1,0,1,1,4,0,73,36,0.06,0.77,0.87,3,30,0.89,warezclient
344,icmp,ftp,SF,3099,1368,1,2,0,1,3,0,56,64,0.89,0.73,0.6,32,180,0.83,portsweep
599,icmp,dns,S0,3800,6667,1,0,0,3,5,0,81,33,0.08,0.83,0.98,133,158,0.61,teardrop
970,tcp,ftp,S0,7780,929,0,2,3,5,2,0,33,80,0.89,0.12,0.26,63,216,0.19,teardrop
18,tcp,ftp,S0,2565,4328,0,0,1,0,3,0,94,100,0.13,0.69,0.45,108,224,0.39,teardrop
175,tcp,dns,SF,3044,9295,0,1,2,1,2,1,86,3,0.63,0.99,0.3,140,131,0.53,guess_passwd
565,tcp,http,RSTR,9571,1987,1,2,3,1,5,1,63,11,0.68,0.19,0.34,83,176,0.57,nmap
937,udp,ftp,RSTR,5291,936,1,2,3,0,3,1,86,19,0.08,0.18,0.21,249,14,0.39,smurf
990,udp,telnet,REJ,7570,5224,0,3,1,4,4,1,85,16,0.88,0.4,0.83,83,78,0.87,satan
173,icmp,ftp,SF,711,7711,1,2,2,4,0,1,13,15,0.49,0.17,0.59,134,51,0.56,nmap
497,tcp,telnet,SF,5531,430,1,0,2,2,0,1,45,25,1.0,0.98,0.86,249,139,0.68,nmap
192,udp,ftp,RSTR,1790,9224,0,0,1,3,1,0,47,70,0.11,0.65,0.28,151,71,0.08,smurf
974,tcp,http,RSTR,4739,7141,0,1,1,5,5,1,50,47,0.38,0.52,0.83,40,139,0.53,neptune
650,icmp,dns,SF,5212,5372,0,1,1,0,0,0,68,20,0.72,0.05,0.19,236,240,0.15,normal
70,icmp,telnet,S0,655,6944,0,3,0,3,2,0,56,80,0.43,0.25,0.21,238,125,0.22,teardrop
863,icmp,ftp,S0,3826,6710,0,3,3,4,3,1,27,50,0.69,0.88,0.21,195,136,0.97,buffer_overflow
801,tcp,dns,RSTR,6293,5471,0,3,2,5,1,1,87,28,0.84,0.31,0.32,242,91,0.94,warezclient
690,tcp,ftp,RSTR,3632,5292,0,1,3,5,4,1,69,46,0.56,0.57,0.22,95,221,0.47,normal
398,udp,dns,SF,9656,347,0,2,0,5,4,0,98,12,0.66,0.53,0.04,219,87,0.67,teardrop
151,udp,dns,S0,9895,2428,0,0,2,3,0,1,52,21,0.26,0.84,0.29,61,185,0.64,neptune
919,icmp,dns,REJ,4122,5531,0,1,0,0,2,0,100,54,0.6,0.12,0.36,173,156,0.35,nmap
623,icmp,ftp,REJ,3209,9447,0,0,2,0,1,0,21,13,0.21,0.99,0.41,97,52,0.87,teardrop
405,tcp,dns,REJ,5616,9716,0,1,2,1,3,1,57,88,0.61,0.18,0.97,169,51,0.58,warezclient
570,udp,http,REJ,5495,9033,0,2,2,2,1,1,87,84,0.62,0.48,0.54,140,122,0.35,neptune
261,tcp,ftp,SF,2971,3579,0,2,3,0,1,0,19,3,0.46,0.24,0.84,146,135,0.6,nmap
29,tcp,dns,REJ,1163,6759,0,2,3,1,4,0,12,85,0.09,0.9,0.03,12,83,0.15,buffer_overflow
6,icmp,ftp,RSTR,7480,9350,1,1,2,2,0,1,16,76,0.35,0.55,0.4,101,23,0.41,smurf
270,icmp,ftp,RSTR,1849,5377,1,3,1,4,5,1,24,38,0.39,0.11,0.74,86,244,0.74,normal
483,tcp,telnet,REJ,9169,7020,1,2,1,5,4,1,17,93,0.56,0.83,0.3,194,137,0.14,teardrop
260,udp,dns,S0,8440,9205,1,1,2,0,2,1,87,100,0.04,0.06,0.63,133,65,0.48,buffer_overflow
118,tcp,http,RSTR,5566,4749,1,1,1,2,4,1,62,51,0.11,0.48,0.05,29,119,0.25,neptune
502,udp,telnet,REJ,4961,7872,0,0,0,1,3,0,56,9,0.61,0.67,0.82,120,134,0.17,warezclient
440,udp,http,SF,8463,3686,1,2,0,0,1,0,65,32,0.03,0.47,0.34,58,104,0.79,teardrop
828,udp,http,S0,6638,9281,1,0,2,2,4,0,53,90,0.31,0.36,0.94,15,229,0.75,nmap
925,tcp,ftp,RSTR,1143,7632,1,3,0,5,4,1,55,43,0.85,0.11,0.62,228,144,0.78,neptune
